,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
104,raw,direct_vocab,6,0.20033638,0.20765708,0.055061046,0.046494506,0.050777778,0.017434573,0.62176824,0.040134665,0.043121465,0.0017306656,1800
105,raw,direct_vocab,7,0.19991449,0.20389824,0.02168843,0.025711207,0.023699818,-0.020624466,-0.90668386,0.0399658,0.04157449,0.0016615578,1800
106,raw,direct_vocab,8,0.20193271,0.20819753,0.049485657,0.013134446,0.03131005,0.030549819,-0.94701403,0.04077682,0.043346215,0.0017675208,1800
107,raw,direct_vocab,9,0.20283665,0.2042043,0.057938676,0.06501952,0.0614791,-0.0071328157,0.063042365,0.041142706,0.0416994,0.0017156261,1800
108,raw,direct_vocab,10,0.20004222,0.20839222,0.042561945,0.024663648,0.033612795,-0.026849544,-0.41530636,0.04001689,0.043427315,0.001737826,1800
109,raw,direct_vocab,11,0.1995934,0.20725733,0.025010964,0.035920955,0.03046596,-0.10033579,0.52548873,0.039837524,0.0429556,0.0017112447,1800
110,raw,direct_vocab,1,0.216027,0.22375564,0.08839414,0.048634596,0.06851437,0.06658997,-0.9012123,0.04666767,0.050066587,0.002336491,2000
111,raw,direct_vocab,2,0.21348907,0.21921074,0.08369979,0.010461834,0.047080815,0.01590345,-0.6386773,0.045577582,0.04805335,0.0021901554,2000
112,raw,direct_vocab,3,0.21298748,0.22015844,0.057772674,0.014776889,0.036274783,-0.03143834,-0.9912604,0.04536367,0.04846974,0.0021987653,2000
113,raw,direct_vocab,4,0.21602103,0.21597704,0.06516305,0.049070396,0.057116725,0.0011657872,0.95125335,0.046665087,0.046646085,0.0021767437,2000
114,raw,direct_vocab,5,0.2163317,0.22369336,0.019264434,0.024407366,0.0218359,0.035300303,0.9789338,0.046799406,0.050038718,0.0023417822,2000
115,raw,direct_vocab,6,0.21535076,0.22343038,0.054952834,0.04229659,0.04862471,0.015308359,0.43952432,0.04637595,0.049921136,0.00231514,2000
116,raw,direct_vocab,7,0.21469529,0.21913856,0.021403268,0.024094075,0.022748671,-0.01905421,-0.6662547,0.046094067,0.04802171,0.002213516,2000
117,raw,direct_vocab,8,0.21666309,0.22311702,0.044186953,0.010642113,0.027414534,0.022654591,-0.877779,0.046942897,0.049781207,0.0023368741,2000
118,raw,direct_vocab,9,0.21794023,0.21964215,0.055419743,0.060335275,0.05787751,-0.012592615,0.0976095,0.047497943,0.048242673,0.0022914277,2000
119,raw,direct_vocab,10,0.21427687,0.22398862,0.03950657,0.02277968,0.031143125,-0.029284544,-0.5767148,0.045914575,0.050170902,0.0023035756,2000
120,raw,direct_vocab,11,0.21431236,0.22210415,0.027409352,0.03469737,0.03105336,-0.104132,0.72068155,0.045929786,0.049330253,0.0022657278,2000
121,raw,direct_vocab,1,0.22978733,0.23866439,0.08623285,0.046294678,0.066263765,0.06468939,-0.90609705,0.05280222,0.05696069,0.0030076508,2200
122,raw,direct_vocab,2,0.22722661,0.23331489,0.07926241,0.009328297,0.044295356,0.013418709,-0.7819325,0.051631935,0.054435838,0.0028106277,2200
123,raw,direct_vocab,3,0.22665888,0.23399082,0.05533466,0.01578794,0.0355613,-0.0300413,-0.99657077,0.05137425,0.0547517,0.0028128275,2200
124,raw,direct_vocab,4,0.22997391,0.23017304,0.06132449,0.043507047,0.052415766,-0.0019087227,0.98130167,0.052888,0.052979626,0.0028019864,2200
125,raw,direct_vocab,5,0.23048167,0.23803051,0.015475253,0.024516774,0.019996013,0.035030916,0.9207503,0.0531218,0.05665852,0.0030098027,2200
126,raw,direct_vocab,6,0.22915386,0.23828998,0.05453344,0.039350223,0.04694183,0.013767262,0.23967834,0.05251149,0.056782115,0.0029817135,2200
127,raw,direct_vocab,7,0.22864908,0.233128,0.021772904,0.023395495,0.0225842,-0.019840444,-0.48089033,0.0522804,0.054348662,0.0028413697,2200
128,raw,direct_vocab,8,0.23037727,0.23736379,0.03884621,0.008890926,0.023868568,0.01581973,-0.7368368,0.053073686,0.056341566,0.0029902547,2200
129,raw,direct_vocab,9,0.23196171,0.23435335,0.053049568,0.056417014,0.05473329,-0.017524527,0.107379146,0.053806234,0.054921493,0.0029551187,2200
130,raw,direct_vocab,10,0.22784176,0.23866346,0.03615138,0.021519698,0.028835539,-0.031552885,-0.7746814,0.05191187,0.05696025,0.002956913,2200
131,raw,direct_vocab,11,0.22795299,0.2359371,0.029333603,0.03415399,0.031743795,-0.106906906,0.8409688,0.051962566,0.055666316,0.0028925645,2200
132,raw,direct_vocab,1,0.24275619,0.253002,0.08442905,0.044426028,0.06442754,0.06239797,-0.90089804,0.05893057,0.06401001,0.0037721463,2400
133,raw,direct_vocab,2,0.24024655,0.24668758,0.075441875,0.009300063,0.042370968,0.009453243,-0.891951,0.057718404,0.06085476,0.0035124396,2400
134,raw,direct_vocab,3,0.2396189,0.2474389,0.05383615,0.017557312,0.03569673,-0.030907653,-0.99759907,0.057417218,0.061226007,0.003515427,2400
